query_id,question,trigger_fired,triggers_list,baseline_complete_answer,always_complete_answer,adaptive_complete_answer,baseline_fact_recall,always_fact_recall,adaptive_fact_recall,baseline_tokens,always_tokens,adaptive_tokens,neighbors_added
GE-015,"A recruiter asked me to send KES 3,000 via M-Pesa for a training kit before I start. Is this normal?",True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2,0,0,0,0.3333,0.6667,0.6667,1037,1412,1412,1
GE-016,"I found a data entry job paying KES 120,000 per month with no experience needed. Should I apply?",True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,1874,1874,2
GE-017,My employer hasn't paid me for 2 months. Can I take them to court?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.5,0.5,1124,2624,2624,4
GE-018,My boss keeps making comments about my appearance. What should I do?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,3374,3374,6
GE-019,Is it safe to share my national ID copy with a recruiter I found on Facebook?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1037,1412,1412,1
GE-020,"A company wants me to buy products worth KES 5,000 and resell them to friends to earn commission. Is this a real job?",True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1037,1412,1412,1
GE-027,What happens if I refuse the extension?,True,MULTI_FACT_QUERY_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,3374,3374,6
GE-030,Is that the same for private sector companies?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,3374,3374,6
GE-031,"Actually, I'm more worried about the dress code. What should I wear to a tech startup?",True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,2624,2624,4
GE-033,I'm thinking of leaving my bank job to start a business. How do I resign properly?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,2249,2249,3
GE-034,What's the HELB repayment process once I start working?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1125,1874,1874,2
GE-035,My employer wants me to work on public holidays without extra pay. Is that allowed?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,3373,3373,6
GE-036,I have a job interview at Safaricom next week. How should I prepare?,True,CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1125,2625,2625,4
GE-037,I want to negotiate my salary but I've never done it before. What do I actually say?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_2|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,1,1,0.0,1.0,1.0,1125,2999,2999,5
GE-039,My contract ends in 2 weeks and I haven't been told if it will be renewed. What should I do?,True,STATUTORY_LEGAL_SIGNAL|CHUNK_BOUNDARY_SIGNAL_RANK_1|CHUNK_BOUNDARY_SIGNAL_RANK_3,0,0,0,0.0,0.0,0.0,1124,2624,2624,4
