query_id,question,baseline_chunk_ids,candidate_chunk_ids,baseline_answer_rank,candidate_answer_rank,baseline_fact_recall,candidate_fact_recall,fact_recall_diff,baseline_complete_answer,candidate_complete_answer,baseline_mrr,candidate_mrr,mrr_diff,query_expansion_triggered,failure_classification
GE-011,What does Section 42 of the Employment Act say?,Employment Act.pdf_c93_s1100;Employment Act.pdf_c104_s1100;Employment Act.pdf_c107_s1100,Employment Act.pdf_c69_s1500;Employment Act.pdf_c74_s1500;Employment Act.pdf_c70_s1500,0,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0,Chunk Boundary / Context Truncation (facts split across chunks)
GE-012,How do I write a good CV for a bank job in Kenya?,bridge_ai_career_handbook_expanded.md_c24_s1100;BrighterMonday_Job_Search_Advice_RAG_Corpus.pdf_c6_s1100;bridge_ai_career_handbook_expanded.md_c21_s1100,BrighterMonday_Job_Search_Advice_RAG_Corpus.pdf_c1_s1500;bridge_ai_career_handbook_expanded.md_c15_s1500;job_scam_red_flags.md_c1_s1500,0,0,0.0,0.0,0.0,0,0,1.0,0.3333,-0.6667,0,Missing Corpus Evidence / Unretrieved Document
GE-013,What government programs help young people find jobs in Kenya?,bridge_ai_career_handbook_expanded.md_c10_s1100;nea_career_services_guide.md_c5_s1100;job_scam_red_flags.md_c1_s1100,nea_career_services_guide.md_c4_s1500;job_scam_red_flags.md_c1_s1500;bridge_ai_career_handbook_expanded.md_c10_s1500,0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.5,0,Missing Corpus Evidence / Unretrieved Document
GE-014,What are common signs that a job might not be real?,job_scam_red_flags.md_c1_s1100;job_scam_red_flags.md_c2_s1100;job_scam_red_flags.md_c5_s1100,job_scam_red_flags.md_c1_s1500;job_scam_red_flags.md_c2_s1500;job_scam_red_flags.md_c4_s1500,0,0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0,None (Full Grounding Success)
GE-015,"A recruiter asked me to send KES 3,000 via M-Pesa for a training kit before I start. Is this normal?",job_scam_red_flags.md_c1_s1100;job_scam_red_flags.md_c2_s1100;job_scam_red_flags.md_c5_s1100,job_scam_red_flags.md_c1_s1500;job_scam_red_flags.md_c2_s1500;job_scam_red_flags.md_c4_s1500,0,0,0.0,0.3333,0.3333,0,0,1.0,1.0,0.0,0,Missing Corpus Evidence / Unretrieved Document
GE-016,"I found a data entry job paying KES 120,000 per month with no experience needed. Should I apply?",job_scam_red_flags.md_c1_s1100;job_scam_red_flags.md_c3_s1100;job_scam_red_flags.md_c5_s1100,job_scam_red_flags.md_c1_s1500;job_scam_red_flags.md_c2_s1500;BrighterMonday_Job_Search_Advice_RAG_Corpus.pdf_c1_s1500,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,Missing Corpus Evidence / Unretrieved Document
GE-017,My employer hasn't paid me for 2 months. Can I take them to court?,Employment Act.pdf_c56_s1100;Employment Act.pdf_c60_s1100;Employment Act.pdf_c125_s1100,Employment Act.pdf_c43_s1500;Employment Act.pdf_c44_s1500;Employment Act.pdf_c50_s1500,0,0,0.0,0.0,0.0,0,0,0.25,0.0,-0.25,0,Embedding Similarity Deficit (vector distance failed to rank relevant chunk)
GE-018,My boss keeps making comments about my appearance. What should I do?,Employment Act.pdf_c41_s1100;Employment Act.pdf_c40_s1100;bridge_ai_career_handbook_expanded.md_c128_s1100,Employment Act.pdf_c30_s1500;bridge_ai_career_handbook_expanded.md_c49_s1500;bridge_ai_career_handbook_expanded.md_c99_s1500,0,0,0.0,0.0,0.0,0,0,0.25,0.5,0.25,0,Missing Corpus Evidence / Unretrieved Document
GE-019,Is it safe to share my national ID copy with a recruiter I found on Facebook?,job_scam_red_flags.md_c1_s1100;job_scam_red_flags.md_c5_s1100;job_scam_red_flags.md_c2_s1100,job_scam_red_flags.md_c1_s1500;job_scam_red_flags.md_c4_s1500;job_scam_red_flags.md_c2_s1500,0,0,0.0,0.0,0.0,0,0,0.3333,1.0,0.6667,0,Missing Corpus Evidence / Unretrieved Document
GE-020,"A company wants me to buy products worth KES 5,000 and resell them to friends to earn commission. Is this a real job?",job_scam_red_flags.md_c1_s1100;first_salary_financial_literacy.md_c6_s1100;job_scam_red_flags.md_c5_s1100,job_scam_red_flags.md_c1_s1500;job_scam_red_flags.md_c4_s1500;job_scam_red_flags.md_c2_s1500,0,0,0.0,0.0,0.0,0,0,0.2,0.3333,0.1333,1,Missing Corpus Evidence / Unretrieved Document
GE-027,What happens if I refuse the extension?,Employment Act.pdf_c90_s1100;Employment Act.pdf_c91_s1100;Employment Act.pdf_c56_s1100,Employment Act.pdf_c58_s1500;Employment Act.pdf_c36_s1500;Employment Act.pdf_c39_s1500,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,Missing Corpus Evidence / Unretrieved Document
GE-030,Is that the same for private sector companies?,Employment Act.pdf_c34_s1100;Employment Act.pdf_c52_s1100;Employment Act.pdf_c125_s1100,Employment Act.pdf_c36_s1500;Employment Act.pdf_c51_s1500;Employment Act.pdf_c41_s1500,0,0,0.0,0.0,0.0,0,0,1.0,0.5,-0.5,0,Missing Corpus Evidence / Unretrieved Document
GE-031,"Actually, I'm more worried about the dress code. What should I wear to a tech startup?",hidden_curriculum_kenya.md_c3_s1100;bridge_ai_career_handbook_expanded.md_c47_s1100;bridge_ai_career_handbook_expanded.md_c45_s1100,hidden_curriculum_kenya.md_c3_s1500;bridge_ai_career_handbook_expanded.md_c33_s1500;hidden_curriculum_kenya.md_c1_s1500,0,0,0.0,0.0,0.0,0,0,1.0,0.3333,-0.6667,0,Chunk Boundary / Context Truncation (facts split across chunks)
GE-033,I'm thinking of leaving my bank job to start a business. How do I resign properly?,bridge_ai_career_handbook_expanded.md_c95_s1100;bridge_ai_career_handbook_expanded.md_c94_s1100;bridge_ai_career_handbook_expanded.md_c92_s1100,bridge_ai_career_handbook_expanded.md_c67_s1500;bridge_ai_career_handbook_expanded.md_c70_s1500;bridge_ai_career_handbook_expanded.md_c1_s1500,0,0,0.0,0.0,0.0,0,0,1.0,0.5,-0.5,0,Chunk Boundary / Context Truncation (facts split across chunks)
GE-034,What's the HELB repayment process once I start working?,helb_repayment_compliance_guide.md_c1_s1100;helb_repayment_compliance_guide.md_c2_s1100;helb_repayment_compliance_guide.md_c3_s1100,helb_repayment_compliance_guide.md_c1_s1500;helb_repayment_compliance_guide.md_c2_s1500;first_salary_financial_literacy.md_c1_s1500,0,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0,Missing Corpus Evidence / Unretrieved Document
GE-035,My employer wants me to work on public holidays without extra pay. Is that allowed?,bridge_ai_career_handbook_expanded.md_c67_s1100;Employment Act.pdf_c46_s1100;Employment Act.pdf_c2_s1100,Employment Act.pdf_c60_s1500;Employment Act.pdf_c57_s1500;Employment Act.pdf_c43_s1500,0,0,0.0,0.0,0.0,0,0,1.0,0.0,-1.0,1,Missing Corpus Evidence / Unretrieved Document
GE-036,I have a job interview at Safaricom next week. How should I prepare?,BrighterMonday_Job_Search_Advice_RAG_Corpus.pdf_c14_s1100;nea_career_services_guide.md_c1_s1100;nea_career_services_guide.md_c4_s1100,nea_career_services_guide.md_c1_s1500;BrighterMonday_Job_Search_Advice_RAG_Corpus.pdf_c10_s1500;job_scam_red_flags.md_c1_s1500,0,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0,Missing Corpus Evidence / Unretrieved Document
GE-037,I want to negotiate my salary but I've never done it before. What do I actually say?,bridge_ai_career_handbook_expanded.md_c126_s1100;BrighterMonday_Job_Search_Advice_RAG_Corpus.pdf_c11_s1100;bridge_ai_career_handbook_expanded.md_c93_s1100,hidden_curriculum_kenya.md_c4_s1500;BrighterMonday_Job_Search_Advice_RAG_Corpus.pdf_c8_s1500;bridge_ai_career_handbook_expanded.md_c1_s1500,0,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0,Chunk Boundary / Context Truncation (facts split across chunks)
GE-039,My contract ends in 2 weeks and I haven't been told if it will be renewed. What should I do?,bridge_ai_career_handbook_expanded.md_c67_s1100;bridge_ai_career_handbook_expanded.md_c129_s1100;hidden_curriculum_kenya.md_c10_s1100,bridge_ai_career_handbook_expanded.md_c49_s1500;bridge_ai_career_handbook_expanded.md_c50_s1500;Employment Act.pdf_c36_s1500,0,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0,Chunk Boundary / Context Truncation (facts split across chunks)
